n,estimate
6,583
6,1231
6,1231
6,763
6,1231
6,799
6,799
6,763
6,583
6,763
6,1663
6,1231
6,583
6,763
6,799
6,1663
6,799
6,763
6,1663
6,799
6,799
6,763
6,799
6,619
6,763
6,799
6,583
6,799
6,799
6,1051
6,799
6,763
6,619
6,799
6,763
6,763
6,1663
6,1231
6,763
6,799
6,1051
6,1051
6,799
6,1663
6,1663
6,799
6,1663
6,1231
6,763
6,583
6,1663
6,763
6,1051
6,1231
6,799
6,799
6,763
6,619
6,619
6,1663
6,799
6,763
6,1231
6,619
6,763
6,619
6,1231
6,583
6,799
6,1231
6,583
6,1231
6,799
6,1663
6,763
6,1051
6,763
6,799
6,799
6,1051
6,1231
6,799
6,799
6,763
6,1051
6,1231
6,763
6,583
6,763
6,583
6,1231
6,799
6,763
6,763
6,799
6,763
6,799
6,799
6,1231
6,583
6,763
6,1051
6,619
6,799
6,799
6,799
6,1231
6,1051
6,1051
6,799
6,799
6,799
6,799
6,763
6,763
6,799
6,619
6,1663
6,1231
6,619
6,799
6,1231
6,1231
6,763
6,799
6,799
6,799
6,799
6,1051
6,1231
6,583
6,799
6,1231
6,1051
6,1231
6,1231
6,583
6,763
6,1231
6,799
6,583
6,799
6,1231
6,799
6,583
6,799
6,799
6,1051
6,763
6,1663
6,583
6,763
6,799
6,799
6,1231
6,799
6,763
6,1231
6,799
6,763
6,1231
6,763
6,619
6,799
6,1231
6,799
6,799
6,1231
6,763
6,1231
6,763
6,1231
6,763
6,583
6,763
6,799
6,583
6,799
6,1231
6,583
6,763
6,763
6,799
6,799
6,1231
6,1231
6,1051
6,763
6,799
6,1051
6,583
6,763
6,619
6,1231
6,619
6,1663
6,763
6,799
6,799
6,763
6,1663
6,583
6,799
6,799
6,799
6,583
6,619
6,763
6,799
6,1231
6,799
6,799
6,763
6,1231
6,1231
6,1231
6,799
6,583
6,1231
6,583
6,583
6,1051
6,799
6,1663
6,1231
6,583
6,799
6,763
6,763
6,799
6,799
6,1051
6,799
6,1231
6,799
6,799
6,583
6,1231
6,583
6,583
6,763
6,763
6,763
6,763
6,619
6,799
6,799
6,1231
6,799
6,799
6,763
6,799
6,763
6,1663
6,619
6,763
6,763
6,619
6,763
6,1051
6,763
6,1231
6,1231
6,1663
6,799
6,1231
6,1231
6,1051
6,619
6,1231
6,1231
6,799
6,1231
6,1663
6,799
6,1051
6,799
6,799
6,583
6,1231
6,1663
6,1051
6,1051
6,583
6,799
6,1051
6,763
6,763
6,799
6,1231
6,799
6,583
6,1051
6,799
6,1231
6,763
6,799
6,763
6,583
6,763
6,799
6,799
6,1231
6,1231
6,1231
6,1231
6,799
6,763
6,583
6,1231
6,799
6,763
6,1231
6,1231
6,799
6,799
6,1231
6,1231
6,799
